host_species,host_species_md,genus,month_bin,taxon,taxon_label,n_colony_observations,n_colonies,mean_abundance,sd_abundance,se_abundance,incidence,se_incidence,n_occupied,mean_intensity,sd_intensity,se_intensity
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,0,trapezia,*Trapezia*,35,35,1.142857142857143,1.6652655174768614,0.28148124746965086,0.45714285714285713,0.0842043882986294,16,2.5,1.632993161855452,0.408248290463863
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,0,alpheus,*Alpheus*,35,35,0.22857142857142854,0.8075276096432459,0.13649707902014757,0.08571428571428572,0.04731878121204715,3,2.6666666666666665,1.1547005383792515,0.6666666666666666
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,1,trapezia,*Trapezia*,35,35,1,1.7822655773580136,0.30125786715206027,0.34285714285714286,0.080232897144853,12,2.916666666666667,1.9286515936521478,0.5567537583840342
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,1,alpheus,*Alpheus*,35,35,0.22857142857142854,0.7702449681266147,0.1301951623990878,0.11428571428571428,0.0537785113208183,4,2,1.4142135623730951,0.7071067811865476
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,2,trapezia,*Trapezia*,33,33,1.4545454545454544,1.5225576567676566,0.2650432679475136,0.5757575757575758,0.08603395906609154,19,2.526315789473684,1.1239029738980328,0.257841025556124
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,2,alpheus,*Alpheus*,33,33,0,0,0,0,0,0,NA,NA,NA
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,3,trapezia,*Trapezia*,33,33,1.3030303030303032,1.9118846801789666,0.33281640358316356,0.45454545454545453,0.08667841720414475,15,2.8666666666666667,1.8847761013926698,0.48664709680157014
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,3,alpheus,*Alpheus*,33,33,0.45454545454545464,1.201325026036592,0.2091238445733676,0.15151515151515152,0.062415594005386335,5,3,1.4142135623730951,0.6324555320336759
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,4,trapezia,*Trapezia*,33,33,1.7575757575757576,1.887960258955135,0.32865169641642217,0.696969696969697,0.08000055652754638,23,2.5217391304347823,1.7804382815218003,0.37124704503630335
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,4,alpheus,*Alpheus*,33,33,0.7272727272727273,1.3526069105787735,0.23545864042303108,0.30303030303030304,0.08000055652754638,10,2.4,1.429840705968481,0.45215533220835114
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,5,trapezia,*Trapezia*,33,33,1.6060606060606064,1.6944651431092117,0.29496852021108766,0.7272727272727273,0.07752753322022198,24,2.2083333333333335,1.6145847942957392,0.32957574104009174
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,5,alpheus,*Alpheus*,33,33,0.6363636363636364,1.2200968664972318,0.21239160255873013,0.30303030303030304,0.08000055652754638,10,2.1,1.3703203194062978,0.43333333333333335
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,6,trapezia,*Trapezia*,33,33,1.8484848484848486,1.9862214774731841,0.34575677900739477,0.696969696969697,0.08000055652754638,23,2.652173913043478,1.8734677533720459,0.39064503084919644
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,6,alpheus,*Alpheus*,33,33,0.7575757575757575,1.4583874448835399,0.2538726678805461,0.2727272727272727,0.07752753322022198,9,2.7777777777777777,1.4813657362192647,0.4937885787397549
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,7,trapezia,*Trapezia*,33,33,1.8181818181818181,1.9438130287939455,0.33837441566859544,0.6666666666666666,0.08206099398622183,22,2.7272727272727275,1.7776875878998424,0.3790042671967236
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,7,alpheus,*Alpheus*,33,33,0.6363636363636364,1.3651506743346549,0.23764222941451696,0.21212121212121213,0.07116472642790657,7,3,1.2909944487358056,0.48795003647426655
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,8,trapezia,*Trapezia*,33,33,1.9696969696969697,1.911884680178967,0.3328164035831636,0.7878787878787878,0.07116472642790657,26,2.5,1.816590212458495,0.35626265159721265
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,8,alpheus,*Alpheus*,33,33,0.8181818181818181,1.4885929903466195,0.25913077843162224,0.2727272727272727,0.07752753322022198,9,3,1.224744871391589,0.40824829046386296
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,9,trapezia,*Trapezia*,32,32,1.375,1.237844119635477,0.21882199276153444,0.6875,0.08193819126329309,22,2,0.9759000729485332,0.20806259464411975
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,9,alpheus,*Alpheus*,32,32,0.375,0.8327955253822958,0.14721884083490872,0.25,0.07654655446197431,8,1.5,1.0690449676496976,0.3779644730092272
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,11,trapezia,*Trapezia*,31,31,1.9032258064516132,2.022454592974874,0.36324356800669033,0.6774193548387096,0.08395897088010118,21,2.8095238095238093,1.8606194564995715,0.40602045232937534
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,11,alpheus,*Alpheus*,31,31,0.7419354838709676,1.4825145740820191,0.26626747783709664,0.25806451612903225,0.07858983387512676,8,2.875,1.5526475085202969,0.5489437910335498
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12,trapezia,*Trapezia*,31,31,2.354838709677419,2.1686921880367467,0.38950861543544724,0.7419354838709677,0.07858983387512676,23,3.1739130434782608,1.9224079103855776,0.40084975901273423
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12,alpheus,*Alpheus*,31,31,1.096774193548387,1.7767918413004455,0.31912123529547604,0.2903225806451613,0.08152485862976439,9,3.7777777777777777,0.6666666666666667,0.22222222222222224
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,14,trapezia,*Trapezia*,31,31,1.2258064516129032,1.8386530834527546,0.33023184237599296,0.41935483870967744,0.08862686513992751,13,2.923076923076923,1.7541160386140584,0.4865042554105199
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,14,alpheus,*Alpheus*,31,31,0.3870967741935484,1.2021486140750572,0.21591226491201954,0.0967741935483871,0.05310031559697429,3,4,0,0
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,16,trapezia,*Trapezia*,31,31,1.4193548387096773,1.8032229211125859,0.3238683973680293,0.5161290322580645,0.08975591530841967,16,2.75,1.61245154965971,0.4031128874149275
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,16,alpheus,*Alpheus*,31,31,0.5161290322580646,1.2615061828870935,0.2265731989860804,0.16129032258064516,0.06605856502852811,5,3.2,1.0954451150103321,0.48989794855663554
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,18,trapezia,*Trapezia*,31,31,1.064516129032258,0.9978471449732081,0.1792186378494681,0.5483870967741935,0.08938114993337112,17,1.9411764705882353,0.24253562503633302,0.05882352941176472
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,18,alpheus,*Alpheus*,31,31,0.25806451612903236,0.6307530914435466,0.11328659949304017,0.16129032258064516,0.06605856502852811,5,1.6,0.5477225575051661,0.24494897427831777
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,19,trapezia,*Trapezia*,31,31,1.5483870967741935,1.1206756794428185,0.20127929388038862,0.7096774193548387,0.08152485862976439,22,2.1818181818181817,0.5884898863364997,0.1254664653349735
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,19,alpheus,*Alpheus*,31,31,0.5161290322580645,1.0286226305740276,0.18474607823582395,0.22580645161290322,0.07509518648353262,7,2.2857142857142856,0.7559289460184544,0.2857142857142857
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,21,trapezia,*Trapezia*,31,31,1.967741935483871,1.016001016001524,0.1824791693384639,0.8709677419354839,0.06021009840370212,27,2.259259259259259,0.712125345092075,0.13704858656188823
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,21,alpheus,*Alpheus*,31,31,0.8064516129032258,1.1081322074767574,0.19902641980945981,0.3870967741935484,0.08748324477412571,12,2.0833333333333335,0.6685579234215214,0.19299604852813632
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,22,trapezia,*Trapezia*,29,29,1.6551724137931036,1.4211630566186055,0.2639033544035247,0.6896551724137931,0.08590911709007583,20,2.4,1.0462967275611939,0.2339590607462407
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,22,alpheus,*Alpheus*,29,29,0.6206896551724139,0.9416472308615169,0.17485950097831382,0.3103448275862069,0.08590911709007583,9,2,0,0
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,24,trapezia,*Trapezia*,28,28,1.607142857142857,1.1001442906807546,0.20790772853063075,0.75,0.08183170883849714,21,2.142857142857143,0.6546536707079774,0.14285714285714293
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,24,alpheus,*Alpheus*,28,28,0.7142857142857142,0.9759000729485334,0.1844277783908294,0.35714285714285715,0.09055224157805535,10,2,0,0
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,33,trapezia,*Trapezia*,25,25,1.84,0.8,0.16,0.88,0.06499230723708768,22,2.090909090909091,0.4264014327112209,0.09090909090909091
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,33,alpheus,*Alpheus*,25,25,0.4000000000000001,0.816496580927726,0.16329931618554522,0.2,0.08,5,2,0,0
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,36,trapezia,*Trapezia*,25,25,1.6,1.0408329997330663,0.20816659994661327,0.76,0.0854166260162505,19,2.1052631578947367,0.5671308728156005,0.1301087453876432
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,36,alpheus,*Alpheus*,25,25,0.8,1,0.2,0.4,0.09797958971132711,10,2,0,0
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,40,trapezia,*Trapezia*,25,25,1.88,0.8812869377601522,0.17625738755203044,0.92,0.05425863986500213,23,2.0434782608695654,0.705707953345447,0.14715028038724334
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,40,alpheus,*Alpheus*,25,25,0.8400000000000001,0.9865765724632496,0.1973153144926499,0.44,0.09927738916792686,11,1.9090909090909092,0.30151134457776363,0.09090909090909091
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,45,trapezia,*Trapezia*,24,24,1.875,1.115600832462626,0.2277210663464648,0.8333333333333334,0.07607257743127306,20,2.25,0.7863975156570492,0.1758438302346117
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,45,alpheus,*Alpheus*,24,24,0.9166666666666667,1.0179547554081032,0.20778914433245899,0.4583333333333333,0.10170707302692229,11,2,0,0
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,71,trapezia,*Trapezia*,14,14,1.1428571428571428,1.0994504121565505,0.2938404825740865,0.5714285714285714,0.13226001425322165,8,2,0.5345224838248488,0.1889822365046136
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,71,alpheus,*Alpheus*,14,14,1,0.9607689228305228,0.2567762955065478,0.5714285714285714,0.13226001425322165,8,1.75,0.4629100498862757,0.16366341767699427
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,75,trapezia,*Trapezia*,13,13,1,1.1547005383792515,0.32025630761017426,0.46153846153846156,0.13826415911891032,6,2.1666666666666665,0.408248290463863,0.16666666666666669
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,75,alpheus,*Alpheus*,13,13,1.0769230769230769,1.0377490433255416,0.2878197989826109,0.5384615384615384,0.13826415911891032,7,2,0,0
Stylophora pistillata,*Stylophora pistillata*,Stylophora,0,trapezia,*Trapezia*,40,40,1.125,1.0174755084307485,0.16087700350395095,0.625,0.07654655446197431,25,1.8,0.6454972243679027,0.12909944487358055
Stylophora pistillata,*Stylophora pistillata*,Stylophora,0,alpheus,*Alpheus*,40,40,0.02499999999999999,0.15811388300841894,0.024999999999999994,0.025,0.024685522072664372,1,1,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,1,trapezia,*Trapezia*,40,40,0.9,1.0076629473115581,0.15932550136313833,0.525,0.07895805848676878,21,1.7142857142857142,0.717137165600636,0.1564921592871903
Stylophora pistillata,*Stylophora pistillata*,Stylophora,1,alpheus,*Alpheus*,40,40,0.024999999999999994,0.15811388300841894,0.024999999999999994,0.025,0.024685522072664372,1,1,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,2,trapezia,*Trapezia*,40,40,1.575,0.9306049865682221,0.14714156797329916,0.8,0.06324555320336758,32,1.96875,0.5378796483685103,0.09508458670590234
Stylophora pistillata,*Stylophora pistillata*,Stylophora,2,alpheus,*Alpheus*,40,40,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,3,trapezia,*Trapezia*,40,40,0.875,0.9919548170024474,0.1568418278851626,0.525,0.07895805848676878,21,1.6666666666666667,0.7302967433402214,0.15936381457791915
Stylophora pistillata,*Stylophora pistillata*,Stylophora,3,alpheus,*Alpheus*,40,40,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,4,trapezia,*Trapezia*,40,40,1.025,0.8002403485107554,0.126529108843046,0.725,0.07060010623221469,29,1.4137931034482758,0.5680317759792736,0.10548085273578257
Stylophora pistillata,*Stylophora pistillata*,Stylophora,4,alpheus,*Alpheus*,40,40,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,5,trapezia,*Trapezia*,40,40,1.25,0.8397191227596316,0.1327712511359486,0.75,0.06846531968814576,30,1.6666666666666667,0.479463301485384,0.08753762190648168
Stylophora pistillata,*Stylophora pistillata*,Stylophora,5,alpheus,*Alpheus*,40,40,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,6,trapezia,*Trapezia*,39,39,1.435897435897436,1.165171588783833,0.18657677537809533,0.7435897435897436,0.06992010767203376,29,1.9310344827586206,0.9231558637459182,0.1714257403084267
Stylophora pistillata,*Stylophora pistillata*,Stylophora,6,alpheus,*Alpheus*,39,39,0.1538461538461539,0.6703675950928771,0.10734472537297861,0.07692307692307693,0.042669245863479165,3,2,1.7320508075688772,1
Stylophora pistillata,*Stylophora pistillata*,Stylophora,7,trapezia,*Trapezia*,38,38,1.4210526315789473,0.792927485432968,0.1286298235405781,0.8421052631578947,0.05915278809989647,32,1.6875,0.5350610456580119,0.09458632343338629
Stylophora pistillata,*Stylophora pistillata*,Stylophora,7,alpheus,*Alpheus*,38,38,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,8,trapezia,*Trapezia*,37,37,1.2432432432432434,0.8945950482203109,0.1470705199758064,0.7297297297297297,0.07300948684714835,27,1.7037037037037037,0.5417077564954127,0.10425170634491158
Stylophora pistillata,*Stylophora pistillata*,Stylophora,8,alpheus,*Alpheus*,37,37,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,9,trapezia,*Trapezia*,37,37,1.189189189189189,0.9671791123858267,0.15900326661912426,0.6486486486486487,0.07848284013769638,24,1.8333333333333333,0.48154341234307674,0.09829463743659808
Stylophora pistillata,*Stylophora pistillata*,Stylophora,9,alpheus,*Alpheus*,37,37,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,11,trapezia,*Trapezia*,35,35,1.0571428571428574,0.9684085532720267,0.16369092182266812,0.5714285714285714,0.08364857768130285,20,1.85,0.36634754853252327,0.08191780219091253
Stylophora pistillata,*Stylophora pistillata*,Stylophora,11,alpheus,*Alpheus*,35,35,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,12,trapezia,*Trapezia*,34,34,1.2941176470588236,1.2680075462137048,0.21746150012567475,0.6176470588235294,0.08334181380283408,21,2.0952380952380953,0.9436504599035553,0.20592141248037776
Stylophora pistillata,*Stylophora pistillata*,Stylophora,12,alpheus,*Alpheus*,34,34,0.11764705882352938,0.685994340570035,0.11764705882352935,0.029411764705882353,0.02897601076893465,1,4,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,14,trapezia,*Trapezia*,32,32,1.0625,1.3425421240462847,0.23733015998542972,0.46875,0.08821554523934542,15,2.2666666666666666,1.0327955589886446,0.26666666666666666
Stylophora pistillata,*Stylophora pistillata*,Stylophora,14,alpheus,*Alpheus*,32,32,0.125,0.7071067811865476,0.125,0.03125,0.030757843257858637,1,4,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,16,trapezia,*Trapezia*,30,30,1.4,1.2757688689165259,0.23292246255614418,0.6666666666666666,0.08606629658238704,20,2.1,0.9679060415469873,0.21643037047317992
Stylophora pistillata,*Stylophora pistillata*,Stylophora,16,alpheus,*Alpheus*,30,30,0.13333333333333336,0.7302967433402211,0.13333333333333325,0.03333333333333333,0.032773069341672505,1,4,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,18,trapezia,*Trapezia*,29,29,1.2758620689655173,0.9218208581830207,0.17117783599895622,0.6896551724137931,0.08590911709007583,20,1.85,0.36634754853252327,0.08191780219091253
Stylophora pistillata,*Stylophora pistillata*,Stylophora,18,alpheus,*Alpheus*,29,29,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,19,trapezia,*Trapezia*,28,28,1.5,0.8388704928078611,0.15853162186855696,0.7857142857142857,0.07754430690597278,22,1.9090909090909092,0.29424494316824984,0.06273323266748675
Stylophora pistillata,*Stylophora pistillata*,Stylophora,19,alpheus,*Alpheus*,28,28,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,21,trapezia,*Trapezia*,25,25,1.76,1.0115993936995682,0.20231987873991364,0.8,0.08,20,2.2,0.5231483637805969,0.11697953037312035
Stylophora pistillata,*Stylophora pistillata*,Stylophora,21,alpheus,*Alpheus*,25,25,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,22,trapezia,*Trapezia*,22,22,1.2727272727272727,0.8827348295047496,0.18819969800246025,0.7272727272727273,0.09495144870310791,16,1.75,0.44721359549995793,0.11180339887498948
Stylophora pistillata,*Stylophora pistillata*,Stylophora,22,alpheus,*Alpheus*,22,22,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,24,trapezia,*Trapezia*,19,19,1.368421052631579,0.8950807732508137,0.2053456124687653,0.7894736842105263,0.09352877017248827,15,1.7333333333333334,0.5936168397046635,0.1532712089469626
Stylophora pistillata,*Stylophora pistillata*,Stylophora,24,alpheus,*Alpheus*,19,19,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,33,trapezia,*Trapezia*,15,15,1.7333333333333334,0.5936168397046635,0.1532712089469626,0.9333333333333333,0.06440611887195305,14,1.8571428571428572,0.3631365196012815,0.09705231721239393
Stylophora pistillata,*Stylophora pistillata*,Stylophora,33,alpheus,*Alpheus*,15,15,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,36,trapezia,*Trapezia*,14,14,1.7142857142857142,0.6112498455021267,0.16336339282767592,0.9285714285714286,0.06883029368995938,13,1.8461538461538463,0.37553380809940534,0.10415433852097385
Stylophora pistillata,*Stylophora pistillata*,Stylophora,36,alpheus,*Alpheus*,14,14,0.14285714285714288,0.5345224838248487,0.14285714285714285,0.07142857142857142,0.0688302936899594,1,2,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,40,trapezia,*Trapezia*,13,13,1.6153846153846154,0.7679476477883046,0.21299035545943787,0.8461538461538461,0.10006825162892168,11,1.9090909090909092,0.30151134457776363,0.09090909090909091
Stylophora pistillata,*Stylophora pistillata*,Stylophora,40,alpheus,*Alpheus*,13,13,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,45,trapezia,*Trapezia*,12,12,1.1666666666666667,0.9374368665610922,0.27061471362866296,0.6666666666666666,0.13608276348795434,8,1.75,0.4629100498862757,0.16366341767699427
Stylophora pistillata,*Stylophora pistillata*,Stylophora,45,alpheus,*Alpheus*,12,12,0.16666666666666666,0.5773502691896257,0.16666666666666666,0.08333333333333333,0.07978559231302818,1,2,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,71,trapezia,*Trapezia*,6,6,1.3333333333333333,1.2110601416389968,0.4944132324730443,0.6666666666666666,0.19245008972987526,4,2,0.816496580927726,0.408248290463863
Stylophora pistillata,*Stylophora pistillata*,Stylophora,71,alpheus,*Alpheus*,6,6,0,0,0,0,0,0,NA,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,75,trapezia,*Trapezia*,5,5,1.2,2.6832815729997477,1.2,0.2,0.1788854381999832,1,6,NA,NA
Stylophora pistillata,*Stylophora pistillata*,Stylophora,75,alpheus,*Alpheus*,5,5,0,0,0,0,0,0,NA,NA,NA
