cohort,genus,coral_uid,mean_trap,mean_alph
T1,Pocillopora,12Pd1_control_T1,3.1176470588235294,1.176470588235294
T1,Pocillopora,12Pd2_control_T1,2.1176470588235294,0.2352941176470588
T1,Pocillopora,12Pd3_control_T1,1,0.1176470588235294
T1,Pocillopora,12Pd4_control_T1,1.411764705882353,0
T1,Pocillopora,12Pd5_control_T1,0.9411764705882353,0.4705882352941176
T1,Pocillopora,12Pd6_control_T1,2.7058823529411766,1.7647058823529411
T1,Pocillopora,12Pd7_control_T1,1.7,0.10000000000000002
T1,Pocillopora,13Pd1_control_T1,0,0
T1,Pocillopora,13Pd2_control_T1,0,0
T1,Pocillopora,14Pd1_control_T1,1.588235294117647,0.1176470588235294
T1,Pocillopora,14Pd2_control_T1,1.176470588235294,0
T1,Pocillopora,14Pd3_control_T1,0.6666666666666667,0
T1,Pocillopora,14Pd4_control_T1,1.6470588235294117,0.1176470588235294
T1,Pocillopora,14Pd5_control_T1,1.2941176470588236,0
T1,Pocillopora,1Pd1_control_T1,1.5882352941176472,0.1764705882352941
T1,Pocillopora,1Pd10_control_T1,0.7058823529411764,0
T1,Pocillopora,1Pd2_control_T1,1.1176470588235294,0.0588235294117647
T1,Pocillopora,1Pd3_control_T1,0.7647058823529411,0
T1,Pocillopora,1Pd4_control_T1,0.2352941176470588,0
T1,Pocillopora,1Pd5_control_T1,2.764705882352941,2
T1,Pocillopora,1Pd6_control_T1,2.1176470588235294,1.4117647058823528
T1,Pocillopora,1Pd7_control_T1,0.7647058823529411,0
T1,Pocillopora,1Pd8_control_T1,0.7058823529411764,0
T1,Pocillopora,1Pd9_control_T1,1.4705882352941178,0.2941176470588235
T1,Pocillopora,5Pd1_control_T1,0.411764705882353,0
T1,Pocillopora,5Pd2_control_T1,1.3529411764705883,0.29411764705882354
T1,Pocillopora,6Pd1_control_T1,2.764705882352941,1.2941176470588236
T1,Pocillopora,6Pd2_control_T1,3.764705882352941,2.3529411764705883
T1,Pocillopora,6Pd3_control_T1,4.117647058823529,2.764705882352941
T1,Pocillopora,6Pd4_control_T1,0.588235294117647,0.2941176470588235
T1,Pocillopora,7Pd1_control_T1,3.647058823529412,2.1764705882352944
T1,Pocillopora,8Pd1_control_T1,1.7058823529411764,0.11764705882352938
T1,Pocillopora,8Pd2_control_T1,1.2941176470588236,0.05882352941176469
T1,Pocillopora,8Pd3_control_T1,0.411764705882353,0
T1,Pocillopora,8Pd4_control_T1,0.1176470588235294,0
T1,Stylophora,12Sp1_control_T1,0.1764705882352941,0
T1,Stylophora,12Sp2_control_T1,0.5,0
T1,Stylophora,12Sp3_control_T1,1.7647058823529411,0
T1,Stylophora,12Sp4_control_T1,1.2307692307692308,0
T1,Stylophora,12Sp5_control_T1,1.5714285714285714,0
T1,Stylophora,12Sp6_control_T1,1.6470588235294117,0
T1,Stylophora,12Sp7_control_T1,1.625,0
T1,Stylophora,13Sp1_control_T1,0.625,0
T1,Stylophora,13Sp2_control_T1,1.1176470588235294,0
T1,Stylophora,14Sp1_control_T1,0.7058823529411764,0
T1,Stylophora,14Sp2_control_T1,1.4705882352941178,0
T1,Stylophora,14Sp3_control_T1,1.5294117647058822,0
T1,Stylophora,14Sp4_control_T1,1.8823529411764703,0.7058823529411764
T1,Stylophora,14Sp5_control_T1,1.2352941176470589,0
T1,Stylophora,14Sp6_control_T1,0.9166666666666667,0
T1,Stylophora,14Sp7_control_T1,0.7857142857142858,0
T1,Stylophora,1Sp1_control_T1,1.8823529411764706,0
T1,Stylophora,1Sp10_control_T1,1.6470588235294117,0.05882352941176469
T1,Stylophora,1Sp2_control_T1,1.4705882352941178,0
T1,Stylophora,1Sp3_control_T1,0.23076923076923075,0
T1,Stylophora,1Sp4_control_T1,1.0666666666666669,0
T1,Stylophora,1Sp5_control_T1,0.588235294117647,0.05882352941176469
T1,Stylophora,1Sp6_control_T1,1.25,0
T1,Stylophora,1Sp7_control_T1,1.2352941176470589,0.23529411764705876
T1,Stylophora,1Sp8_control_T1,1.2941176470588236,0
T1,Stylophora,1Sp9_control_T1,1.5294117647058822,0
T1,Stylophora,5Sp1_control_T1,1.5294117647058822,0
T1,Stylophora,5Sp2_control_T1,2.352941176470588,0.05882352941176469
T1,Stylophora,6Sp2_control_T1,1.4705882352941178,0
T1,Stylophora,6Sp3_control_T1,1.588235294117647,0
T1,Stylophora,6Sp4_control_T1,1.1764705882352942,0
T1,Stylophora,6Sp5_control_T1,1.8235294117647058,0
T1,Stylophora,7Sp1_control_T1,1.2352941176470589,0
T1,Stylophora,8Sp1_control_T1,1.2352941176470589,0
T1,Stylophora,8Sp2_control_T1,1.1,0.1
T1,Stylophora,8Sp3_control_T1,1.4,0
T1,Stylophora,8Sp4_control_T1,0.33333333333333337,0
T1,Stylophora,8Sp5_control_T1,0.18181818181818177,0
T1,Stylophora,8Sp6_control_T1,0.6875,0
T1,Stylophora,8Sp7_control_T1,1.1176470588235294,0
T2,Pocillopora,12Pd1_control_T2,2.1,1
T2,Pocillopora,12Pd2_control_T2,2.1818181818181817,1.7272727272727273
T2,Pocillopora,12Pd3_control_T2,1.6363636363636362,0.2727272727272727
T2,Pocillopora,12Pd4_control_T2,2,0.5454545454545454
T2,Pocillopora,12Pd5_control_T2,1.7777777777777777,1.2222222222222223
T2,Pocillopora,12Pd6_control_T2,2,1.6
T2,Pocillopora,14Pd1_control_T2,1.4545454545454546,1.0909090909090908
T2,Pocillopora,14Pd2_control_T2,1.4545454545454546,1.2727272727272727
T2,Pocillopora,14Pd4_control_T2,1.8,0.4
T2,Pocillopora,14Pd5_control_T2,2,0.8888888888888888
T2,Pocillopora,1Pd1_control_T2,1.9090909090909092,1.0909090909090908
T2,Pocillopora,1Pd10_control_T2,2.1818181818181817,0.1818181818181818
T2,Pocillopora,1Pd2_control_T2,2,0
T2,Pocillopora,1Pd3_control_T2,1.3333333333333333,0
T2,Pocillopora,1Pd4_control_T2,0.0909090909090909,0
T2,Pocillopora,1Pd5_control_T2,2,1.6363636363636365
T2,Pocillopora,1Pd6_control_T2,2,0.8888888888888888
T2,Pocillopora,1Pd7_control_T2,2,0.125
T2,Pocillopora,1Pd8_control_T2,2,0.4444444444444444
T2,Pocillopora,1Pd9_control_T2,2,1.1111111111111112
T2,Pocillopora,5Pd1_control_T2,0,0
T2,Pocillopora,5Pd2_control_T2,1.3333333333333333,1.3333333333333333
T2,Pocillopora,6Pd1_control_T2,1.1818181818181819,0.45454545454545453
T2,Pocillopora,6Pd2_control_T2,1.2,0.4
T2,Pocillopora,6Pd3_control_T2,2.2222222222222223,1.7777777777777777
T2,Pocillopora,6Pd4_control_T2,0.6666666666666667,0.4444444444444444
T2,Pocillopora,7Pd1_control_T2,1.1111111111111112,0.6666666666666667
T2,Pocillopora,8Pd1_control_T2,2,0.1818181818181818
T2,Pocillopora,8Pd2_control_T2,1.1818181818181819,0
T2,Pocillopora,8Pd3_control_T2,1.3636363636363635,0.0909090909090909
T2,Pocillopora,8Pd4_control_T2,0.5555555555555556,0
T2,Stylophora,12Sp1_control_T2,0.39999999999999997,0
T2,Stylophora,12Sp3_control_T2,1,0
T2,Stylophora,12Sp6_control_T2,2.4285714285714284,0
T2,Stylophora,12Sp7_control_T2,2,0
T2,Stylophora,13Sp1_control_T2,0.5,0
T2,Stylophora,13Sp2_control_T2,1.3333333333333333,0
T2,Stylophora,14Sp1_control_T2,0,0
T2,Stylophora,14Sp2_control_T2,1.7272727272727273,0
T2,Stylophora,14Sp3_control_T2,2,0
T2,Stylophora,14Sp4_control_T2,1.2,0
T2,Stylophora,14Sp5_control_T2,1.1818181818181819,0
T2,Stylophora,1Sp1_control_T2,2,0.22222222222222215
T2,Stylophora,1Sp10_control_T2,1.8181818181818181,0
T2,Stylophora,1Sp2_control_T2,2,0
T2,Stylophora,1Sp4_control_T2,0,0
T2,Stylophora,1Sp5_control_T2,1.3333333333333335,0
T2,Stylophora,1Sp7_control_T2,1.125,0.25
T2,Stylophora,1Sp8_control_T2,1.1111111111111112,0
T2,Stylophora,1Sp9_control_T2,1,0
T2,Stylophora,5Sp1_control_T2,2.1818181818181817,0
T2,Stylophora,5Sp2_control_T2,1.2,0
T2,Stylophora,6Sp2_control_T2,1.6666666666666667,0
T2,Stylophora,6Sp3_control_T2,1,0
T2,Stylophora,6Sp4_control_T2,1.6,0
T2,Stylophora,6Sp5_control_T2,1.5555555555555556,0
T2,Stylophora,7Sp1_control_T2,1.8888888888888888,0
T2,Stylophora,8Sp1_control_T2,1.6666666666666667,0
T2,Stylophora,8Sp6_control_T2,0,0
T2,Stylophora,8Sp7_control_T2,1.6363636363636365,0
